,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
350,DNK,1998,5304219.0,33346.4884298957,1.84565122007889
351,DNK,1997,5284991.0,32779.879045297,2.18216677907116
352,DNK,1996,5263074.0,35621.9878051732,2.12629802275584
353,DNK,1995,5233373.0,35321.0980773087,2.08360842382846
354,DNK,1994,5206180.0,29967.8303903163,1.99201463809526
355,DNK,1993,5188628.0,27581.7241097459,1.25785667953259
356,DNK,1992,5171370.0,29579.4913648682,2.09604442933217
357,DNK,1991,5154298.0,27002.8057705804,2.39515331724415
358,DNK,1990,5140939.0,26885.6994188191,2.64160306382
359,DNK,1989,5132594.0,21882.1517463842,4.77272342435522
360,DNK,1988,5129516.0,22524.5792595476,4.5351330101572
361,DNK,1987,5127024.0,21295.6768566078,4.01999345683163
362,DNK,1986,5120534.0,17136.6297376226,3.67818411863452
363,DNK,1985,5113691.0,12212.7873997293,4.6787514518325
364,DNK,1984,5111619.0,11516.6821578436,6.29077936023771
365,DNK,1983,5114297.0,11796.5691955784,6.90822881158842
366,DNK,1982,5117810.0,11740.2199128271,10.1208256779823
367,DNK,1981,5121572.0,12000.2103769191,11.7673874344181
368,DNK,1980,5123027.0,13822.1578405912,12.3053240760182
369,DNK,1979,5116801.0,13757.2343740839,9.61105037907122
370,DNK,1978,5104248.0,11817.6250875179,10.2136545710405
371,DNK,1977,5088419.0,9769.57864283968,10.9222378100329
372,DNK,1976,5072596.0,8773.3396162771,9.01029083562224
373,DNK,1975,5059862.0,7988.15613263518,9.60561207538676
374,DNK,1974,5045297.0,6763.86592918646,15.2752062218395
375,DNK,1973,5021861.0,6116.89199229142,9.30338297973673
376,DNK,1972,4991596.0,4653.95587889115,6.56236090256536
377,DNK,1971,4963126.0,3845.59906810072,5.8698695907191
378,DNK,1970,4928757.0,3464.45518278408,6.51484141652981
379,DNK,1969,4891860.0,3151.13324311543,3.48791924395193
380,DNK,1968,4864883.0,2776.13544525805,8.00520710366467
381,DNK,1967,4835354.0,2700.74637883336,8.20785355844014
382,DNK,1966,4797381.0,2487.13627144432,7.06495969658815
383,DNK,1965,4759012.0,2284.22850484956,5.44999999925051
384,DNK,1964,4722072.0,2049.39724281483,3.09278350515449
385,DNK,1963,4684483.0,1807.25279179793,6.10503282302931
386,DNK,1962,4647727.0,1711.2181376602,7.37781954818461
387,DNK,1961,4611687.0,1530.53779004389,3.45162858557827
388,DNK,1960,4579603.0,1389.0213943225,1.25523012552923
389,DNK,2024,,,1.37220049768918
390,HRV,2023,3859686.0,21865.4562838641,7.9412817758683
391,HRV,2022,3855641.0,18466.0955472648,10.7805806758686
392,HRV,2021,3878981.0,17789.9304736722,2.55450699642041
393,HRV,2020,3914206.0,14808.4620188819,0.154811374562106
394,HRV,2019,3949390.0,15563.8167397199,0.771820346498019
395,HRV,2018,3988775.0,15460.4183295843,1.50012501041756
396,HRV,2017,4041407.0,13902.6310485422,1.12937210282347
397,HRV,2016,4106867.0,12821.1738140304,-1.12500000000002
398,HRV,2015,4151725.0,12285.3032582105,-0.464499004644911
399,HRV,2014,4201598.0,14187.9694531493,-0.215196159576268
400,HRV,2013,4233922.0,14136.3967669505,2.21658206429779
401,HRV,2012,4260368.0,13508.6836989693,3.41207349081358
402,HRV,2011,4280622.0,14694.9993201417,2.2727272727273
403,HRV,2010,4295427.0,13731.2865213989,1.03055505333574
404,HRV,2009,4305181.0,14475.9632928725,2.37852845904674
405,HRV,2008,4309705.0,15889.4347074759,6.07696838798354
406,HRV,2007,4310217.0,13757.605654192,2.89928275583388
407,HRV,2006,4311159.0,11502.753124287,3.18982591472949
408,HRV,2005,4310145.0,10443.5278353294,3.31717824448045
409,HRV,2004,4304600.0,9718.97322801967,2.05539679050328
410,HRV,2003,4303399.0,8190.11135193887,1.76733780760629
411,HRV,2002,4302174.0,6219.58164143945,1.67178437393383
412,HRV,2001,4299642.0,5364.83824691607,3.77670246665889
413,HRV,2000,4468302.0,4953.65158789022,4.61131554737801
414,HRV,1999,4512597.0,5269.03394637289,4.01913875598086
415,HRV,1998,4532135.0,5712.58985659548,6.39668660837554
416,HRV,1997,4534920.0,5331.02343858808,4.17066155321188
417,HRV,1996,4557097.0,5299.6410536193,4.29999999999995
418,HRV,1995,4620030.0,4929.05772183424,3.95010395010402
419,HRV,1994,4652024.0,3237.92646315285,107.327586206896
420,HRV,1993,4600463.0,2447.50319141761,1500.0
421,HRV,1992,4575818.0,2321.15204123035,625.000000000001
422,HRV,1991,4689022.0,4000.91677428625,122.222222222221
423,HRV,1990,4777368.0,5369.10978590681,500.000000000001
424,HRV,1989,4767260.0,,1400.0
425,HRV,1988,4755207.0,,185.714285714285
426,HRV,1987,4739745.0,,133.333263744315
427,HRV,1986,4721446.0,,50.0
428,HRV,1985,4701417.0,,
429,HRV,1984,4680285.0,,
430,HRV,1983,4658254.0,,
