TIME_PERIOD,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,OBS_VALUE
2021,AUT,A,UNEMP,PT_LF,_T,Y,_Z,6.2
2020,AUT,A,UNEMP,PT_LF,_T,Y,_Z,6.025
2019,AUT,A,UNEMP,PT_LF,_T,Y,_Z,4.84166666666667
2018,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.20833333333333
2024,CRI,A,UNEMP,PT_LF,_T,Y,_Z,7.45244371175
2023,CRI,A,UNEMP,PT_LF,_T,Y,_Z,8.89087364125
2020,CRI,A,IRLT,PA,_Z,_Z,_Z,8.836666666666666
2019,CRI,A,IRLT,PA,_Z,_Z,_Z,10.616666666666665
2018,CRI,A,IRLT,PA,_Z,_Z,_Z,9.9625
2017,CRI,A,IRLT,PA,_Z,_Z,_Z,8.906666666666665
2016,CRI,A,IRLT,PA,_Z,_Z,_Z,8.334999999999999
2015,CRI,A,IRLT,PA,_Z,_Z,_Z,9.629999999999999
2014,CRI,A,IRLT,PA,_Z,_Z,_Z,9.836666666666664
2022,CRI,A,UNEMP,PT_LF,_T,Y,_Z,12.2188307875
2021,CRI,A,UNEMP,PT_LF,_T,Y,_Z,16.43337201
2020,CRI,A,UNEMP,PT_LF,_T,Y,_Z,19.6068848475
2019,CRI,A,UNEMP,PT_LF,_T,Y,_Z,11.755392085
2018,CRI,A,UNEMP,PT_LF,_T,Y,_Z,10.264046309
2017,CRI,A,UNEMP,PT_LF,_T,Y,_Z,9.07172439475
2016,CRI,A,UNEMP,PT_LF,_T,Y,_Z,9.5378522955
2015,CRI,A,UNEMP,PT_LF,_T,Y,_Z,9.61297364575
2014,CRI,A,UNEMP,PT_LF,_T,Y,_Z,9.61738513875
2013,CRI,A,UNEMP,PT_LF,_T,Y,_Z,9.3861625635
2012,CRI,A,UNEMP,PT_LF,_T,Y,_Z,10.171754124
2011,CRI,A,UNEMP,PT_LF,_T,Y,_Z,10.29847593575
2024,CRI,A,IRLT,PA,_Z,_Z,_Z,6.521666666666667
2023,CRI,A,IRLT,PA,_Z,_Z,_Z,8.106666666666666
2001,CZE,A,UNEMP,PT_LF,_T,Y,_Z,8.125
2000,CZE,A,UNEMP,PT_LF,_T,Y,_Z,8.775
2024,CZE,A,IRLT,PA,_Z,_Z,_Z,3.9799141887827028
2007,CZE,A,IRLT,PA,_Z,_Z,_Z,4.302214655339868
2006,CZE,A,IRLT,PA,_Z,_Z,_Z,3.7982323134467184
2005,CZE,A,IRLT,PA,_Z,_Z,_Z,3.5443901623917267
2004,CZE,A,IRLT,PA,_Z,_Z,_Z,4.820178636817549
2003,CZE,A,IRLT,PA,_Z,_Z,_Z,4.11529776602021
2002,CZE,A,IRLT,PA,_Z,_Z,_Z,4.876591212844031
2001,CZE,A,IRLT,PA,_Z,_Z,_Z,6.314695188573727
2023,CZE,A,IRLT,PA,_Z,_Z,_Z,4.43843208064349
2022,CZE,A,IRLT,PA,_Z,_Z,_Z,4.333533659195987
2021,CZE,A,IRLT,PA,_Z,_Z,_Z,1.903468270004315
2020,CZE,A,IRLT,PA,_Z,_Z,_Z,1.1287859061341934
2019,CZE,A,IRLT,PA,_Z,_Z,_Z,1.5481160086050403
