Reference area,TIME_PERIOD,GINI,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
United States,2016,0.411,USA,10.3,38.923934,0.0606801569887613,0.0929550046309706,1.84166666666667,4.86666666666667,24190907.0,49888.0410842736,1.27699094497324
United States,2015,0.412,USA,10.6,38.9975,0.0605433483835135,0.0911513233738647,2.13583333333333,5.29166666666667,23815995.0,56739.0265346593,1.50836672165921
United States,2014,0.415,USA,10.7,39.0755,0.0609981826584957,0.0885827910935273,2.54083333333333,6.16666666666667,23475686.0,62544.0873773726,2.48792270531404
United States,2013,0.406,USA,10.8,39.0495,0.0621154564658313,0.0859171320259968,2.35083333333333,7.375,23128129.0,68190.7010035651,2.4498886414254
United States,2012,0.409,USA,10.8,39.134,0.0625387864626303,0.0863173803077032,1.8025,8.06666666666667,22733465.0,68072.8732340801,1.76278015613196
United States,2011,0.409,USA,11.3,39.1925,0.0649768064605212,0.087878189574026,2.78583333333333,8.95,22340024.0,62605.600458306,3.3038501560874
United States,2010,0.4,USA,11.4,39.2055,0.0669455544834261,0.0881693434720553,3.21416666666667,9.61666666666666,22031750.0,52144.6654705468,2.91834002677376
United States,2009,0.406,USA,11.8,39.16,0.0673869071057621,0.0870390134263089,3.25666666666667,9.26666666666667,21691653.0,42816.5674002829,1.77111716621254
United States,2008,0.408,USA,11.9,39.251,0.0643608071625855,0.0798331689219574,3.66666666666667,5.775,21249199.0,49701.2817843335,4.35029854990048
United States,2007,0.408,USA,11.6,39.2705,0.0624332791358544,0.0768863976026908,4.62916666666667,4.61666666666667,20827622.0,41051.6120652288,2.32761128891476
United States,2006,0.414,USA,11.5,39.303,0.0616403685606318,0.0742989553173398,4.79166666666667,4.61666666666667,20450966.0,36595.7071548423,3.55528773727026
United States,2005,0.41,USA,12.0,39.29,0.0617098486969711,0.0726591480288241,4.29,5.06666666666667,20176844.0,34479.7679298388,2.69183168316832
United States,2004,0.4029999999999999,USA,12.0,39.316,0.0625375307067186,0.072901768621867,4.27416666666667,5.53333333333333,19932722.0,30836.7306824685,2.34325522482583
United States,2003,0.408,USA,12.4,39.3225,0.0632860757040793,0.0716824967594673,4.015,5.99166666666667,19720737.0,23718.1338501868,2.73259596616786
United States,2002,0.4039999999999999,USA,12.8,39.2965,0.0635995101338553,0.0697536171295955,4.61083333333333,5.775,19495210.0,20301.8431713256,2.98157453936348
United States,2001,0.406,USA,12.9,39.2705,0.0629892090563072,0.0660567734861952,5.0175,4.73333333333333,19274701.0,19695.7297379144,4.40713536201469
United States,2000,0.401,USA,12.9,39.34,0.0604146358308964,0.0606629604743052,6.02916666666667,3.99166666666667,19028802.0,21870.4159669594,4.45743514797224
