,REF_AREA,TIME_PERIOD,Education spending,Health spending,Housing spending,Community development spending
102,CHE,2006,0.05057921610413917,0.01670892201964306,0.0005306274318833384,0.0007195786900869042
103,CHE,2007,0.04816639388017777,0.01643763304368665,0.0005149826508545262,0.0007078295296027929
104,CHE,2008,0.04914534412888207,0.017436400259610813,0.00046140796844168833,0.000560007900461151
105,CHE,2009,0.05248778801214733,0.01882915282548272,0.00042091845138289975,0.0005445707083937051
106,CHE,2010,0.05165067986064914,0.01832264739867418,0.0004369420105899509,0.0006289217352765835
107,CHE,2011,0.052046615551246,0.019071340412123754,0.0004311676810435199,0.0005849729995376842
108,CHE,2012,0.05298568122401907,0.020447137718207834,0.0004055337354296697,0.0006277989112421306
109,CHE,2013,0.053630895479805415,0.021130619350447282,0.0003054788196878291,0.000579534429289252
110,CHE,2014,0.053690434933816915,0.0209389201747006,0.00030356734112631353,0.0006377378037944612
111,CHE,2015,0.054628924188930866,0.02125647356464926,0.0002809404296978707,0.0006530326831518204
112,CHE,2016,0.05485963201405297,0.02157538689875448,0.0002468693841189083,0.0005826672161563524
113,CHE,2017,0.0549758009201572,0.021115931942742295,0.00024187853628578372,0.0006400622023129545
114,CHE,2018,0.05413250995416992,0.021231633482498954,0.00022492430098397404,0.0006202436642460511
115,CHE,2019,0.05540511566446122,0.02185858007962091,0.000554747136492714,0.0007131805527062571
116,CHE,2020,0.058347065634115854,0.02581415796363752,0.0004241641077638034,0.0007559657346985574
117,CHE,2021,0.05589311219605163,0.027649971900577785,0.0004785894413596099,0.0007152541062197157
118,CHE,2022,0.05464769188412827,0.02337096423772249,0.000400839316374765,0.0007392698297243823
119,CHE,2023,0.05675773693037544,0.022294258311410554,0.0005080680008766886,0.000755480276868624
120,COL,2009,0.04026783684337638,0.06920741504670726,0.002140990306184323,1.4648679953236969e-05
121,COL,2010,0.03851238833952141,0.07057537771569318,0.0020651054093298554,1.4320337830386367e-05
122,COL,2011,0.0396671044604627,0.07164916329118616,0.0020825205416156135,1.3973244938492064e-05
123,COL,2012,0.038526827182250874,0.08083774065386941,0.0020737001655740032,1.441731745020149e-05
124,COL,2013,0.04153352574524606,0.08564492300022546,0.0021793779297654505,1.4517764492860173e-05
125,COL,2014,0.042750913287796705,0.09992468243013847,0.002390264943249664,1.6028740219923093e-05
126,COL,2015,0.04493321668961021,0.09945484733255665,0.002440051674726119,1.6614284722136388e-05
