Entity,Code,Year,World regions according to WB
Somalia,SOM,2023,Sub-Saharan Africa (WB)
South Africa,ZAF,2023,Sub-Saharan Africa (WB)
South Georgia and the South Sandwich Islands,SGS,2023,Latin America and Caribbean (WB)
South Korea,KOR,2023,East Asia and Pacific (WB)
South Sudan,SSD,2023,Sub-Saharan Africa (WB)
Spain,ESP,2023,Europe and Central Asia (WB)
Sri Lanka,LKA,2023,South Asia (WB)
Sudan,SDN,2023,Sub-Saharan Africa (WB)
Suriname,SUR,2023,Latin America and Caribbean (WB)
Sweden,SWE,2023,Europe and Central Asia (WB)
Switzerland,CHE,2023,Europe and Central Asia (WB)
Syria,SYR,2023,Middle East and North Africa (WB)
Taiwan,TWN,2023,East Asia and Pacific (WB)
Tajikistan,TJK,2023,Europe and Central Asia (WB)
Tanzania,TZA,2023,Sub-Saharan Africa (WB)
Thailand,THA,2023,East Asia and Pacific (WB)
Togo,TGO,2023,Sub-Saharan Africa (WB)
Tokelau,TKL,2023,East Asia and Pacific (WB)
Tonga,TON,2023,East Asia and Pacific (WB)
Trinidad and Tobago,TTO,2023,Latin America and Caribbean (WB)
Tunisia,TUN,2023,Middle East and North Africa (WB)
Turkey,TUR,2023,Europe and Central Asia (WB)
Turkmenistan,TKM,2023,Europe and Central Asia (WB)
Turks and Caicos Islands,TCA,2023,Latin America and Caribbean (WB)
Tuvalu,TUV,2023,East Asia and Pacific (WB)
USSR,OWID_USS,2023,Europe and Central Asia (WB)
Uganda,UGA,2023,Sub-Saharan Africa (WB)
Ukraine,UKR,2023,Europe and Central Asia (WB)
United Arab Emirates,ARE,2023,Middle East and North Africa (WB)
United Kingdom,GBR,2023,Europe and Central Asia (WB)
United States,USA,2023,North America (WB)
United States Virgin Islands,VIR,2023,Latin America and Caribbean (WB)
Uruguay,URY,2023,Latin America and Caribbean (WB)
Uzbekistan,UZB,2023,Europe and Central Asia (WB)
Vanuatu,VUT,2023,East Asia and Pacific (WB)
Vatican,VAT,2023,Europe and Central Asia (WB)
Venezuela,VEN,2023,Latin America and Caribbean (WB)
Vietnam,VNM,2023,East Asia and Pacific (WB)
Wallis and Futuna,WLF,2023,East Asia and Pacific (WB)
West Germany,OWID_GFR,2023,Europe and Central Asia (WB)
Western Sahara,ESH,2023,Middle East and North Africa (WB)
Yemen,YEM,2023,Middle East and North Africa (WB)
Yemen Arab Republic,OWID_YAR,2023,Middle East and North Africa (WB)
Yemen People's Republic,OWID_YPR,2023,Middle East and North Africa (WB)
Yugoslavia,OWID_YGS,2023,Europe and Central Asia (WB)
Zambia,ZMB,2023,Sub-Saharan Africa (WB)
Zimbabwe,ZWE,2023,Sub-Saharan Africa (WB)
